idx,project,filename,window_start,window_end,label,logits
114061,MARS_20160101_20160131_32kHz,MARS_20160112_100820_resampled_32kHz.wav,275.0,280.0,orca_call,0.6072638
114062,MARS_20160101_20160131_32kHz,MARS_20160112_100820_resampled_32kHz.wav,280.0,285.0,orca_call,0.7325671
114063,MARS_20160101_20160131_32kHz,MARS_20160112_100820_resampled_32kHz.wav,285.0,290.0,orca_call,0.9427185
126754,MARS_20160101_20160131_32kHz,MARS_20160125_222405_resampled_32kHz.wav,50.0,55.0,orca_call,0.38644052
126806,MARS_20160101_20160131_32kHz,MARS_20160125_222405_resampled_32kHz.wav,310.0,315.0,orca_call,1.3096724
134731,MARS_20160101_20160131_32kHz,MARS_20160112_023820_resampled_32kHz.wav,335.0,340.0,orca_call,0.8265461
134759,MARS_20160101_20160131_32kHz,MARS_20160112_023820_resampled_32kHz.wav,475.0,480.0,orca_call,0.94811904
134779,MARS_20160101_20160131_32kHz,MARS_20160112_023820_resampled_32kHz.wav,575.0,580.0,orca_call,0.32464004
145124,MARS_20160101_20160131_32kHz,MARS_20160112_110820_resampled_32kHz.wav,15.0,20.0,orca_call,1.4891891
150194,MARS_20160101_20160131_32kHz,MARS_20160125_214420_resampled_32kHz.wav,135.0,140.0,orca_call,0.11012404
157415,MARS_20160101_20160131_32kHz,MARS_20160116_123820_resampled_32kHz.wav,30.0,35.0,orca_call,1.4412951
157519,MARS_20160101_20160131_32kHz,MARS_20160116_123820_resampled_32kHz.wav,550.0,555.0,orca_call,0.12229638
174562,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,10.0,15.0,orca_call,1.4288635
174569,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,45.0,50.0,orca_call,1.8478414
174576,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,80.0,85.0,orca_call,1.664725
174589,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,145.0,150.0,orca_call,0.07072756
174591,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,155.0,160.0,orca_call,1.7101339
174592,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,160.0,165.0,orca_call,1.1297734
174599,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,195.0,200.0,orca_call,2.7368433
174600,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,200.0,205.0,orca_call,0.46719587
174601,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,205.0,210.0,orca_call,2.9008749
174602,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,210.0,215.0,orca_call,2.6991963
174603,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,215.0,220.0,orca_call,1.1506057
174604,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,220.0,225.0,orca_call,1.3143235
174605,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,225.0,230.0,orca_call,1.271626
174607,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,235.0,240.0,orca_call,0.26830053
174609,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,245.0,250.0,orca_call,1.5329393
174612,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,260.0,265.0,orca_call,1.8643298
174614,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,270.0,275.0,orca_call,0.4222114
174616,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,280.0,285.0,orca_call,0.78987795
174618,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,290.0,295.0,orca_call,1.4985399
174619,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,295.0,300.0,orca_call,0.03706327
174620,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,300.0,305.0,orca_call,1.6055933
174622,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,310.0,315.0,orca_call,1.5092796
174623,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,315.0,320.0,orca_call,1.9459705
174625,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,325.0,330.0,orca_call,0.401936
174626,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,330.0,335.0,orca_call,1.7477279
174635,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,375.0,380.0,orca_call,3.0450175
174643,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,415.0,420.0,orca_call,1.5911376
174647,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,435.0,440.0,orca_call,0.11884378
174648,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,440.0,445.0,orca_call,0.65837765
174649,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,445.0,450.0,orca_call,0.5910449
174650,MARS_20160101_20160131_32kHz,MARS_20160112_121820_resampled_32kHz.wav,450.0,455.0,orca_call,1.1006052
177982,MARS_20160101_20160131_32kHz,MARS_20160112_113820_resampled_32kHz.wav,5.0,10.0,orca_call,0.94047916
177986,MARS_20160101_20160131_32kHz,MARS_20160112_113820_resampled_32kHz.wav,25.0,30.0,orca_call,1.3075569
178219,MARS_20160101_20160131_32kHz,MARS_20160116_130820_resampled_32kHz.wav,590.0,595.0,orca_call,0.1404814
178845,MARS_20160101_20160131_32kHz,MARS_20160105_234435_resampled_32kHz.wav,120.0,125.0,orca_call,0.47672987
178920,MARS_20160101_20160131_32kHz,MARS_20160105_234435_resampled_32kHz.wav,495.0,500.0,orca_call,1.9993367
178922,MARS_20160101_20160131_32kHz,MARS_20160105_234435_resampled_32kHz.wav,505.0,510.0,orca_call,0.053132042
178929,MARS_20160101_20160131_32kHz,MARS_20160105_234435_resampled_32kHz.wav,540.0,545.0,orca_call,0.4207505
187109,MARS_20160101_20160131_32kHz,MARS_20160112_123820_resampled_32kHz.wav,15.0,20.0,orca_call,0.96157646
187111,MARS_20160101_20160131_32kHz,MARS_20160112_123820_resampled_32kHz.wav,25.0,30.0,orca_call,0.21656705
187133,MARS_20160101_20160131_32kHz,MARS_20160112_123820_resampled_32kHz.wav,135.0,140.0,orca_call,0.85786897
187207,MARS_20160101_20160131_32kHz,MARS_20160112_123820_resampled_32kHz.wav,505.0,510.0,orca_call,0.62007725
200366,MARS_20160101_20160131_32kHz,MARS_20160112_044820_resampled_32kHz.wav,135.0,140.0,orca_call,0.9355209
200369,MARS_20160101_20160131_32kHz,MARS_20160112_044820_resampled_32kHz.wav,150.0,155.0,orca_call,2.2995443
200370,MARS_20160101_20160131_32kHz,MARS_20160112_044820_resampled_32kHz.wav,155.0,160.0,orca_call,0.7367322
200373,MARS_20160101_20160131_32kHz,MARS_20160112_044820_resampled_32kHz.wav,170.0,175.0,orca_call,0.23912059
213680,MARS_20160101_20160131_32kHz,MARS_20160112_122820_resampled_32kHz.wav,210.0,215.0,orca_call,0.3142203
213682,MARS_20160101_20160131_32kHz,MARS_20160112_122820_resampled_32kHz.wav,220.0,225.0,orca_call,1.5977191
213689,MARS_20160101_20160131_32kHz,MARS_20160112_122820_resampled_32kHz.wav,255.0,260.0,orca_call,1.0968548
213721,MARS_20160101_20160131_32kHz,MARS_20160112_122820_resampled_32kHz.wav,415.0,420.0,orca_call,1.2852426
213725,MARS_20160101_20160131_32kHz,MARS_20160112_122820_resampled_32kHz.wav,435.0,440.0,orca_call,2.523047
213727,MARS_20160101_20160131_32kHz,MARS_20160112_122820_resampled_32kHz.wav,445.0,450.0,orca_call,0.31666577
213741,MARS_20160101_20160131_32kHz,MARS_20160112_122820_resampled_32kHz.wav,515.0,520.0,orca_call,0.9063065
213757,MARS_20160101_20160131_32kHz,MARS_20160112_122820_resampled_32kHz.wav,595.0,600.0,orca_call,2.4907653
214298,MARS_20160101_20160131_32kHz,MARS_20160129_011707_resampled_32kHz.wav,300.0,305.0,orca_call,1.2790165
214300,MARS_20160101_20160131_32kHz,MARS_20160129_011707_resampled_32kHz.wav,310.0,315.0,orca_call,2.427202
214302,MARS_20160101_20160131_32kHz,MARS_20160129_011707_resampled_32kHz.wav,320.0,325.0,orca_call,0.25720096
214309,MARS_20160101_20160131_32kHz,MARS_20160129_011707_resampled_32kHz.wav,355.0,360.0,orca_call,0.6197257
214311,MARS_20160101_20160131_32kHz,MARS_20160129_011707_resampled_32kHz.wav,365.0,370.0,orca_call,0.81786644
214315,MARS_20160101_20160131_32kHz,MARS_20160129_011707_resampled_32kHz.wav,385.0,390.0,orca_call,1.2046098
214328,MARS_20160101_20160131_32kHz,MARS_20160129_011707_resampled_32kHz.wav,450.0,455.0,orca_call,1.5513338
220727,MARS_20160101_20160131_32kHz,MARS_20160112_025820_resampled_32kHz.wav,0.0,5.0,orca_call,1.7648276
